city,cityID,TGNID,latitude,longitude,birth,death,bir_sour
North Africa ,1000390000,7016886,20.526755,10.865315,1.0,0.0,1.0
Annaba ,1001000034,7001313,36.9167,7.7833,0.0,1.0,0.0
Souq Ahras ,1001540022,1087562,36.2333,8,1.0,0.0,1.0
Labdah ,1332330000,7000642,32.9833,14.25,1.0,0.0,1.0
Changzhou ,3062060190,7001471,31.7833,119.95,0.0,1.0,0.0
Chengdu ,3062060234,7001761,30.666,104.066,0.0,1.0,0.0
Dongping ,3062090594,1138922,35.9667,116.3333,1.0,0.0,1.0
Henan ,3062210003,7016672,34,114,1.0,0.0,1.0
Hangzhou ,3062210092,7001806,30.3,120.1167,0.0,1.0,0.0
Lanxi ,3062330073,1069668,29.2,119.45,1.0,0.0,1.0
Lin'an ,3062330261,1069840,30.2667,119.7167,0.0,1.0,0.0
Meishan ,3062360181,1070405,30.0333,103.8167,1.0,0.0,1.0
Suzhou ,3062540950,7018059,31.35,120.6667,1.0,2.0,0.0
Zhejiang ,3062750000,7002076,29,120,1.0,0.0,1.0
Babylonia ,3240030008,7013255,33.240526,43.68985,0.0,1.0,0.0
Sh¨©r¨¡z ,3243540044,7002148,29.6333,52.5667,1.0,1.0,0.0
Awaji ,3271000130,1079845,34.5833,135.0167,1.0,0.0,1.0
Harima ,3271210053,1080057,34.7,134.8833,1.0,0.0,1.0
Kyoto ,3271300435,7004603,35,135.75,1.0,3.0,0.0
Moscow ,3510360392,7012974,55.75,37.7,0.0,1.0,0.0
Syria ,3543000000,1000140,35,38,1.0,0.0,1.0
Damascus ,3543090021,7002261,33.5,36.3167,1.0,0.0,1.0
Turkey ,3573000000,1000144,39,35,0.0,1.0,0.0
Istanbul ,3573240047,7002473,41.0333,28.95,0.0,2.0,0.0
Brabant ,4000030003,7003463,54.322554,4.30165,1.0,0.0,1.0
Illyria ,4000240000,7016683,54.322554,4.30165,1.0,0.0,1.0
Austria ,4002000000,1000062,47.3333,13.3333,1.0,0.0,1.0
Vienna ,4002630021,7003321,48.2167,16.3667,0.0,3.0,0.0
Baarle-Hertog ,4031030001,1026306,51.45,4.933333,1.0,0.0,1.0
Bruges ,4031030066,7007867,51.210933,3.225971,0.0,6.0,0.0
Brussels ,4031030068,7007868,50.833333,4.333333,0.0,1.0,0.0
Ghent ,4031180010,7007887,51.05,3.716667,0.0,1.0,0.0
Huy ,4031210055,7007896,50.523582,5.241276,1.0,1.0,0.0
Ypres ,4031240001,7007899,50.851142,2.885688,1.0,1.0,0.0
Louvain ,4031330020,7007949,50.883333,4.7,1.0,2.0,0.0
Li¨¨ge ,4031330028,7007945,50.638674,5.570228,1.0,0.0,1.0
Maaseik ,4031360000,7007951,51.1,5.8,2.0,0.0,1.0
Tournai ,4031570018,7008002,50.60715,3.389321,2.0,0.0,1.0
Prague ,4060450028,7006464,50.1,14.4333,1.0,0.0,1.0
_ibenik ,4061540007,7015447,43.75,15.9167,0.0,1.0,0.0
Solin ,4061540017,7017320,43.55,16.5,0.0,1.0,0.0
Zadar ,4061750003,7015549,44.1167,15.2333,1.0,0.0,1.0
Aix-en-Provence ,4151000064,7010786,43.5167,5.45,0.0,2.0,0.0
Amiens ,4151000131,7010588,49.9,2.3,1.0,0.0,1.0
Angers ,4151000159,7008480,47.4833,-.5333,1.0,0.0,1.0
Avignon ,4151000374,7008799,43.9333,4.8,0.0,5.0,0.0
Brittany ,4151030002,7012216,48,-3.0167,1.0,0.0,1.0
Bourges ,4151030399,7017415,47.0833,2.3833,0.0,1.0,0.0
Colmar ,4151060476,7008119,48.0833,7.35,2.0,1.0,1.0
Corr¨¨ze ,4151060724,7002922,45.3333,1.8333,1.0,0.0,1.0
