city,cityID,TGNID,latitude,longitude,birth,death,bir_sour
North Africa ,1000390000,7016886,20.526755,10.865315,1.0,0.0,1.0
Annaba ,1001000034,7001313,36.9167,7.7833,0.0,1.0,0.0
Souq Ahras ,1001540022,1087562,36.2333,8,1.0,0.0,1.0
Labdah ,1332330000,7000642,32.9833,14.25,1.0,0.0,1.0
Changzhou ,3062060190,7001471,31.7833,119.95,0.0,1.0,0.0
Chengdu ,3062060234,7001761,30.666,104.066,0.0,1.0,0.0
Dongping ,3062090594,1138922,35.9667,116.3333,1.0,0.0,1.0
Lanxi ,3062330073,1069668,29.2,119.45,1.0,0.0,1.0
Lin'an ,3062330261,1069840,30.2667,119.7167,0.0,1.0,0.0
Meishan ,3062360181,1070405,30.0333,103.8167,1.0,0.0,1.0
Babylonia ,3240030008,7013255,33.240526,43.68985,0.0,1.0,0.0
Syria ,3543000000,1000140,35,38,1.0,0.0,1.0
Damascus ,3543090021,7002261,33.5,36.3167,1.0,0.0,1.0
Turkey ,3573000000,1000144,39,35,0.0,1.0,0.0
Istanbul ,3573240047,7002473,41.0333,28.95,0.0,2.0,0.0
Illyria ,4000240000,7016683,54.322554,4.30165,1.0,0.0,1.0
Vienna ,4002630021,7003321,48.2167,16.3667,0.0,1.0,0.0
Huy ,4031210055,7007896,50.523582,5.241276,1.0,1.0,0.0
Solin ,4061540017,7017320,43.55,16.5,0.0,1.0,0.0
Lyon ,4151330592,7008772,45.7667,4.8333,1.0,0.0,1.0
Paris ,4151450026,7008038,48.8667,2.3333,1.0,1.0,0.0
Romenay ,4151510128,1035130,46.5,5.05,0.0,1.0,0.0
Saint-Denis ,4151540116,7009706,48.95,2.3833,0.0,1.0,0.0
Tours ,4151570128,7008323,47.3833,.7,0.0,1.0,0.0
Troyes ,4151570174,7008350,48.3,4.0833,1.0,0.0,1.0
Aachen ,4180000002,7004799,50.770833,6.105278,1.0,1.0,0.0
Trier ,4180570142,7004447,49.75,6.633333,0.0,1.0,0.0
Athens ,4181000086,7001393,37.983333,23.733333,0.0,2.0,0.0
Kir¨¢s Vr¨ªsi ,4181300070,5004291,37.917508,23.006031,1.0,0.0,1.0
Pella ,4181450026,7011026,40.76,22.519167,1.0,0.0,1.0
S¨¢mos ,4181540003,1042201,37.757222,26.976944,1.0,0.0,1.0
Apulia ,4243000002,7010380,41.25,16.25,0.0,1.0,0.0
Anzio ,4243000198,7015535,41.45,12.616667,1.0,0.0,1.0
Arpino ,4243000267,7006688,41.65,13.6,1.0,0.0,1.0
Baia ,4243030039,7004516,40.816667,14.066667,0.0,1.0,0.0
Corfinio ,4243060881,7009534,40.733333,15.266667,1.0,0.0,1.0
Formia ,4243150151,7006711,41.25,13.616667,0.0,1.0,0.0
Genoa ,4243180088,7008546,44.416667,8.95,1.0,0.0,1.0
Jesi ,4243270000,7004002,43.516667,13.233333,1.0,0.0,1.0
Lazio ,4243330000,7003080,42,14.5,0.0,1.0,0.0
Lanuvio ,4243330039,7006708,41.666667,12.7,1.0,0.0,1.0
Miseno ,4243360299,7010130,40.783333,14.083333,0.0,1.0,0.0
Naples ,4243390002,7004474,40.833333,14.25,0.0,1.0,0.0
Nola ,4243390057,7004644,40.916667,14.55,0.0,1.0,0.0
Resina ,4243510050,7031897,40.8,14.35,0.0,1.0,0.0
Rome ,4243510165,7000874,41.9,12.483333,8.0,6.0,1.0
Sulmona ,4243540793,7004202,42.05,13.916667,1.0,0.0,1.0
Viterbo province ,4243630313,7003139,42.416667,12.083333,0.0,1.0,0.0
Constan_a ,4511060042,7004050,44.2,28.6667,0.0,1.0,0.0
Spain ,4540000000,1000095,40,-4,1.0,0.0,1.0
Canterbury ,4601060067,7012044,51.2833,1.0833,0.0,1.0,0.0
Islip ,4601240095,1029678,51.8333,-1.2333,1.0,0.0,1.0
Jarrow ,4601270001,7010023,54.9833,-1.4833,0.0,1.0,0.0
London ,4601330462,7011781,51.5,-.1667,1.0,1.0,0.0
Monkton ,4601360356,4007330,51.35,1.2833,1.0,0.0,1.0
York ,4601720031,7011995,53.9667,-1.0833,1.0,1.0,0.0
Serbia ,4720540000,7006669,44,21,2.0,0.0,1.0
