city,cityID,TGNID,latitude,longitude,birth,death,bir_sour
North Africa ,1000390000,7016886,20.526755,10.865315,1.0,0.0,1.0
Algeria ,1001000000,7016752,28,3,0.0,3.0,0.0
Algiers ,1001000031,7001314,36.8333,3,4.0,12.0,0.0
Annaba ,1001000034,7001313,36.9167,7.7833,0.0,1.0,0.0
Kabylie ,1001300001,1112028,36.25,5,0.0,1.0,0.0
Mestghanem ,1001360015,7001318,35.85,.1167,1.0,0.0,1.0
Oran ,1001420002,7001246,35.75,-.6333,1.0,0.0,1.0
Qacentina ,1001480001,7001315,36.3667,6.6167,1.0,0.0,1.0
Souq Ahras ,1001540022,1087562,36.2333,8,1.0,0.0,1.0
S¨¦tif ,1001540024,7001320,36.15,5.4333,2.0,1.0,1.0
Arquip¨¦lago de Cabo Verde ,1060000000,7001632,16,-24,1.0,0.0,1.0
Kabeya ,1063300006,1089031,-5.6667,27.9667,1.0,0.0,1.0
Lubumbashi ,1063330060,7000576,-11.6833,27.4833,0.0,1.0,0.0
Gonder ,1122180020,1089826,12.65,37.4833,0.0,1.0,0.0
Egypt ,1123000000,7016833,27,30,2.0,0.0,1.0
Al _Alamayn ,1123000042,7001192,30.8167,28.95,0.0,1.0,0.0
Alexandria ,1123000108,7001188,31.2,29.9,7.0,0.0,1.0
Cairo ,1123060000,7001215,30.05,31.25,3.0,11.0,0.0
Luxor ,1123330001,7017995,25.6833,32.65,0.0,2.0,0.0
Suez ,1123540000,7001164,29.9667,32.55,0.0,1.0,0.0
Franceville ,1180150001,1090007,-1.6667,13.5167,2.0,0.0,1.0
Nairobi ,1300390003,7001116,-1.2833,36.8333,1.0,0.0,1.0
Nyeri ,1300390014,1090535,-0.4167,36.9333,0.0,1.0,0.0
Al Khums province ,1332000002,7000609,31.65,14.2667,1.0,0.0,1.0
Labdah ,1332330000,7000642,32.9833,14.25,1.0,0.0,1.0
Boujad ,1360030016,1091364,32.8,-6.4333,1.0,0.0,1.0
Casablanca ,1360060002,7000451,33.65,-7.5833,0.0,2.0,0.0
Marakesh ,1360360003,7000354,31.8167,-8,0.0,1.0,0.0
Rabat ,1360510001,7001584,34.0333,-6.85,0.0,1.0,0.0
Tanger ,1360570016,7000442,35.8,-5.8333,0.0,3.0,0.0
Taourirt ,1360570019,1091453,34.4167,-2.8833,1.0,0.0,1.0
T¨¦touan ,1360570030,7000464,35.5667,-5.3667,0.0,1.0,0.0
Bamako ,1363030007,7000468,12.6667,-7.9833,1.0,0.0,1.0
Port Louis ,1364450000,1091323,-20.1667,57.5,1.0,0.0,1.0
Tete ,1365570003,7000396,-16.1667,33.5833,1.0,0.0,1.0
Ife ,1392240009,7000498,7.05,4.5,1.0,0.0,1.0
Sudan ,1540000000,1000201,15,30,1.0,1.0,0.0
El Abbasiya ,1540000004,1094115,12.2,31.3167,0.0,1.0,0.0
Khartoum ,1540300031,7001619,15.55,32.5333,0.0,2.0,0.0
Saint Helena ,1541000000,7005277,-15.95,-5.7,0.0,1.0,0.0
Saint-Louis ,1543540001,7000426,16.0333,-16.5,1.0,0.0,1.0
Aberdeen ,1547000003,1092799,-32.4833,24.0667,1.0,0.0,1.0
Amsterdam ,1547000027,1092823,-26.6333,30.6667,2.0,3.0,0.0
Berlin ,1547030031,1092869,-32.8833,27.5833,1.0,4.0,0.0
Brandfort ,1547030082,7000815,-28.7,26.4667,1.0,0.0,1.0
Cape Province ,1547060007,7016540,-31,23,0.0,2.0,0.0
Cape Town ,1547060008,7000811,-33.9333,18.4667,2.0,6.0,0.0
Durban ,1547090049,7000801,-29.8833,31,1.0,2.0,0.0
Grahamstown ,1547180035,1093112,-33.3,26.5333,0.0,1.0,0.0
Haenertsburg ,1547210000,1093133,-24,29.8333,0.0,1.0,0.0
Johannesburg ,1547270007,7000809,-26.1667,28.0333,2.0,5.0,0.0
Kimberley ,1547300025,7000860,-28.75,24.7667,0.0,1.0,0.0
